header,body
"היו""ר רוני בר-און","את היועץ המשפטי לממשלה מייצג עורך-דין רז נזרי. אני מבקש לזמן בדחיפות את חבר הכנסת גורולובסקי. זה לא ייתכן, אני הודעתי לו שהוא צריך להיות פה. נא להודיע לו שאנחנו ממתינים לו ואנחנו לא יכולים להתחיל את הדיון.

 אנחנו נטפל בינתיים בכמה דברים אחרים, עד שחבר הכנסת גורולובסקי יגיע הנה.

 אני רוצה להזכיר לראשי הסיעות, שבדיון על הסרת החסינות אי-אפשר להחליף חברים לקראת ההצבעה. חברים שיתחילו בדיון הם החברים שלהם תהיה זכות ההצבעה."
דוד טל,אני מבקש שאצלי זה ייקבע רק - - -
"היו""ר רוני בר-און",שנייה אחת. אנחנו לא פותחים דיון בעניין הזה.
גדעון סער,"אני מבקש להודיע משהו לפרוטוקול, אדוני היושב-ראש."
"היו""ר רוני בר-און",אני מזכיר את זה כדי שתנצלו גם את 10 הדקות - או כמה דקות שיהיו פה להמתין לחבר הכנסת גורולובסקי - כדי להסדיר את העניין הזה.
גדעון סער,"אדוני היושב-ראש, אני מבקש תחילה להודיע כי במהלך הדיון בבקשות להסרת חסינות שמונחות כרגע בפני הוועדה, ישתתף חבר הכנסת אהוד יתום במקום חבר הכנסת עמרי שרון. חבר הכנסת יתום הוא ממלא-מקום קבוע שלנו ובאופן טבעי - ברגע שחבר הכנסת שרון, על יסוד ההליכים שמתנהלים נגדו, החליט לא להשתתף לעת הזאת בבקשות מהסוג הזה - הוא יחליף אותו."
"היו""ר רוני בר-און",מאה אחוז.
גדעון סער,"יחד עם זאת, מוטלת עלינו החובה גם למלא מקום נוסף, והוא מקומו של חבר הכנסת גורולובסקי - מטעמים מובנים."
"היו""ר רוני בר-און",לפחות בבקשה הנוגעת לו הוא עצמו.
גדעון סער,"נכון, ואני מבקש בעניין הזה - אינני יודע ואני שואל פה את היועצת המשפטית - אם לעניין זה נדרשת דחיית תחילת הדיון על מנת שאביא זאת היום לישיבת הסיעה וייקבע, כי זה איננו דבר שאני רוצה לעשות על דעת עצמי, ואם אפשר להתחיל ואחר-כך יצטרף חבר נוסף בישיבה השנייה - מה טוב."
"היו""ר רוני בר-און","אני אענה לך - אפשר.

 הדיון היום - כפי שהודעתי מלכתחילה גם לחברי הכנסת שעניינם נדון כאן, גם לעורכי-הדין שלהם, גם ליועץ המשפטי לממשלה וגם לחברים מהוועדה ששאלו אותי - הוא דיון פורמלי כדי לעמוד במצוות החוק שקובעת, שמיד עם הגשת הבקשה, בישיבה הראשונה של הוועדה ייפתח הדיון. אחר-כך אני אפרט גם את יתר הדברים שדורשים את חובתם, או מה החובה הנדרשת מחברי כנסת שמשתתפים בישיבה הזאת.

 תודה שהגעת, חבר הכנסת גורולובסקי, בבקשה תצטרף אלינו."
גדעון סער,"אנה, אולי תציגי מה המצב."
"היו""ר רוני בר-און",אני אגיד את זה.
גדעון סער,"אבל אדוני היושב-ראש, יושבת פה יועצת משפטית - להשכלתי המשפטית."
"היו""ר רוני בר-און","סליחה. תודה רבה לך, אני מנהל את הישיבה, אני אענה לך. אם לא תקבל תשובות ממני, תפנה - ותפנה דרכי בבקשה ליועצת המשפטית. אני מנהל פה את הישיבה.

 חבר הכנסת גורולובסקי, אני מבקש שתצטרף אלינו בבקשה."
דליה איציק,למה הוא חייב? הוא לא יכול לשבת כאן?
מיכאל גורולובסקי,אני לא יכול לשבת ליד דליה?
"היו""ר רוני בר-און","סליחה, אני מבקש שיצטרף אלינו."
דליה איציק,"הוא מאוד רוצה לשבת על-ידי, אז מה יש."
"היו""ר רוני בר-און","תצטרפי את אלינו.

 אנחנו עוברים לדיון בבקשת היועץ המשפטי לממשלה."
דוד טל,"אדוני, סליחה. אני רוצה לבקש מהיושב-ראש שלגבי סיעת ""עם אחד"", ההערה שהערת בתחילת הדיון, שמי שיישב בדיון היום - יצטרך לסיים את הדיון, אני מבקש שהיום יתאפשר לנו לקבל החלטה, אחרת אני אצטרך לצאת."
"היו""ר רוני בר-און","מאה אחוז. כפי שאני עושה לגבי סיעת הליכוד, אני אעשה גם לגבי סיעת ""עם אחד"". ההשתתפות בדיון הפורמלי - אין בה מבחינת חיוב. לפני הדיון הראשון שיהיה לגופו של עניין, תוכל סיעת ""עם אחד"" להודיע אם החבר הקבוע - חבר הכנסת עמיר פרץ - משתתף בדיון, או חבר אחר מהסיעה מחליף אותו. מקובל עליך?"
דוד טל,מאה אחוז.
"היו""ר רוני בר-און",אנחנו עוברים אפוא לדיון.
דליה איציק,"אדוני, הערה לסדר היום, או שאלה. אני רואה שהיועץ המשפטי איננו כאן."
"היו""ר רוני בר-און","נכון, אני שחררתי אותו מחובת הופעה."
דליה איציק,למה?
"היו""ר רוני בר-און","משום שהדיון היום הוא דיון פורמלי, אני אסביר מה יהיו הליכי הדיון. הוא פנה אלי, אני שחררתי אותו מחובת הופעה. אנחנו היום נקבע את התאריכים שבהם היועץ המשפטי לממשלה יופיע, ירצה את טענותיו, ישמע את הטענות של הצד השני, יישאל שאלות, יענה תשובות, על-ידי חברי הכנסת, ככל שיידרש.

 לגופם של דברים, מבחינת המהות, היועץ המשפטי או נציגו - הוא כמובן יכול להופיע באמצעות נציגו - אני מניח שהוא יופיע."
רז נזרי,הוא יופיע.
דליה איציק,אז מה יהיה טיבו של הדיון היום?
"היו""ר רוני בר-און","אמרתי - דיון פורמלי. נכנסת באיחור, הודעתי את זה."
דליה איציק,אני לא הבנתי מה זה דיון פורמלי.
"היו""ר רוני בר-און","מצוות התקנון היא לפתוח בדיון מייד בישיבה הראשונה הקבועה לוועדת הכנסת, לאחר שהיועץ המשפטי לממשלה מבקש את הבקשה הזאת. במצווה זו אנחנו עומדים היום - הבקשה הגיעה ביום רביעי אחר הצהרים, וככזו - זו הישיבה הראשונה. לכן אנחנו פותחים את הדיון, אבל אמרתי: גם מבחינת נוחיותם, בעיקר מבחינת נוחיותם של חברי הכנסת, ועוד יותר - של הסניגורים שלהם - אי-אפשר היה לקיים את הדיון היום. לכן, כפי שאתם תשמעו בהמשך, הוצעו תאריכים שמקובלים על עורך הדין של חבר הכנסת חזן, תאריכים שמקובלים על עורך הדין של חבר הכנסת גורולובסקי, תאריכים שמקובלים על היועץ המשפטי לממשלה, ואנחנו נקבע את התאריכים האלה מייד כשהדיון הפורמלי הזה יגיע לקצו."
דני יתום,"שאלה, אדוני היושב-ראש. אני מבקש לדעת האם יש איזושהי מגבלת זמן, או שזה תהליך שעלול או עשוי להימשך עד בלי גבול."
"היו""ר רוני בר-און","לכאורה, אין מגבלת זמן. אני יכול לומר לך, מהניסיון הקודם שהיה פה לוועדה הזאת בכנסת הזאת - בבקשה שעניינה היה חברת הכנסת בלומנטל - פתחנו את זה מייד. אז היה צורך יותר ממושך לתת לצדדים, להגנה, לעיין בראיות משום שלא היה שימוע. פה, חומר הראיות כבר הועמד לצדדים, התקיים שימוע. זו נגזרת מכמה זמן הדיון מתמשך. אין מגבלת זמן."
דליה איציק,"אדוני היושב-ראש, האם היועץ המשפטי מסיים את תפקידו בסוף ינואר, או בסוף דצמבר?"
"היו""ר רוני בר-און",בסוף דצמבר.
דליה איציק,על אחת כמה וכמה הוא היה צריך להיות כאן.
"היו""ר רוני בר-און",על אחת איזה כמה ועל איזה כמה? מה כמה הראשון ומה כמה השני?
דליה איציק,"אני אסביר לך. קודם כל, אני לא זוכרת פרוצדורה כזאת. בכלל, אני חושבת שהמעמד מחייב - אומנם זה הפך להיות מאוד לעתים קרובות שמסירים חסינות - אבל זה נראה היה לי נכון, בכל זאת זה אירוע קשה ויום קשה גם לחברי הכנסת היושבים פה.

 אני חושבת שהיה נכון שהיועץ המשפטי לממשלה יתחיל היום את הדיון - לא שלוחיו ולא מישהו אחר - ואילוצי הזמן בוודאי מחייבים היו את נוכחותו היום."
"היו""ר רוני בר-און","הזיכרון , עם כל כמה שהוא חשוב, אין לו שום נפקות - לא תקנונית ולא משפטית. הדבר היחיד שיש לו כאן נפקות זה התקנון והפרוצדורה. הפרוצדורה איננה מחייבת את התייצבותו היום מכיוון שאמרתי, והקדמתי ואמרתי, ושבתי ואמרתי: הדיון כאן היום לא יהיה לגופו של עניין.

 סברתי, וכך החלטתי, שאין צורך בהתייצבותו של היועץ המשפטי לממשלה. לדעתי, אין גם שום השפעה - לצורך הנחיצות של ההתייצבות שלו כאן היום - לעובדה שהוא מסיים את תפקידו בסוף דצמבר. העובדה היחידה שעליה יכול להשפיע הנתון הזה שהוא מסיים את תפקידו בסוף דצמבר, זה שאנחנו נשמע אותו עד שהוא יסיים את תפקידו.

 למען הפרוטוקול וכדי להרגיע את חברת הכנסת איציק, אני חייב לציין שהוא היה נכון להופיע כאן היום. אני סברתי שאין בזה טעם. הא ראיה, שגם שחררתי את פרקליטו של חבר הכנסת גורולובסקי מחובת ההופעה כאן היום.

 ובכן, אנחנו עוברים לדיון בבקשה. הונחה בפני הבקשה של היועץ המשפטי לממשלה בעניינם של חברי הכנסת מיכאל גורולובסקי ויחיאל חזן. לכל אחת מן הבקשות צורפה טיוטת כתב האישום, שגם היא הונחה בפניכם.

 אמת, נכון הדבר, חברי הכנסת גורולובסקי וחזן - היועץ המשפטי לממשלה מבקש להאשים אותם ולהעמיד אותם לדין בכתב אישום אחד, ויחד עם זאת, הוגשו שתי בקשות נפרדות, בקשה אחת לחבר הכנסת חזן ובקשה שנייה לגבי חבר הכנסת גורולובסקי. עצם הדיון, מעצם טיבו וטבעו, מזמין דיון נפרד בשתי הבקשות. לא עניינו של חבר הכנסת האחד כעניינו של חבר הכנסת השני, פרט למסכת העובדות ולהוראות החיקור שנזכרים בכתב אישום אחד.

 לכן, אני קובע שהדיון בבקשות יתנהל בנפרד - דיון אחד בעניינו של חבר הכנסת גורולובסקי, ודיון אחד בעניינו של חבר הכנסת חזן.

 אני מבקש לומר עוד שני דברים לפני שאנחנו בעצם נתקדם ונגיע להיכן שאנחנו צריכים להגיע.

 בכתב האישום יש רשימה של עדי התביעה. שמי מופיע ברשימת עדי התביעה כעד תביעה שמופיע ברשימה מס' 9 - כמובן, זה לא מחייב במהלך המשפט, אפשר לעשות עם זה מה שרוצים. ככזה, סברתי שיהיה זה נכון שהיועצת המשפטית של הכנסת תחווה את דעתה אם מן הראוי ואם נכון שאני אנהל את הדיון בוועדת הכנסת בבקשות אלה של היועץ המשפטי לממשלה."
אחמד טיבי,או להשתתף בהצבעה.
"היו""ר רוני בר-און","אין ספק שאם לא הייתי יכול לנהל את הדיון - גם לא הייתי משתתף בהצבעה. אם היתה פה איזושהי פסלות - היא היתה הולכת לכל אורך הדרך.

 נוכח כך, פניתי ביום 2 בדצמבר, מייד עם קבלת הבקשה, אל היועצת המשפטית בכתב, ביקשתי ממנה לחוות את דעתה. כתבתי לה ש""היועץ המשפטי הגיש היום ליושב-ראש הכנסת שתי בקשות נפרדות ליטול את חסינותם של חברי הכנסת יחיאל חזן ומיכאל גורולובסקי על מנת שאפשר יהיה לפתוח בהליכים פליליים נגדם בבית משפט השלום בירושלים"".

 צירפתי את פניית היועץ המשפטי, וכתבתי לה: ""כפי שתראי בטיוטת כתב האישום, שמי נכלל ברשימת עדי התביעה. בנסיבות העניין סברתי כי מן הראוי שתחווי את דעתך המקצועית אם נכון וראוי שאנהל את הדיון בוועדת הכנסת בבקשות אלה של היועץ המשפטי לממשלה"". כתבתי גם ש""באתי בדברים עם היועץ המשפטי לממשלה וביקשתיו להעמיד לרשותך את הודעתי במשטרה בעניין הנדון כדי שתוכלי לעיין בה לצורך קביעת עמדתך"" - כדי שהיא תדע מה תוכן עדותי במשטרה. ""אודה לחוות דעתך בהקדם"".

 למחרת היום קיבלתי את מכתבה של היועצת המשפטית: ""לכבוד חבר הכנסת רוני בר-און, יושב-ראש ועדת הכנסת. הנדון: ניהול הדיון בוועדת הכנסת בבקשת היועץ המשפטי לממשלה בדבר נטילת חסינות חברי הכנסת חזן וגורולובסקי. במענה למכתבך שבנדון, הריני להודיעך כדלקמן: לאחר שעיינתי בבקשות היועץ המשפטי לממשלה מיום 2 בדצמבר 2003, בדבר נטילת חסינות חברי הכנסת יחיאל חזן ומיכאל גורולובסקי, בטיוטת כתב האישום ובהודעתך במשטרה מיום 6 ביולי 2003, הגעתי למסקנה כי אין בעובדה ששמך נכלל ברשימת עדי התביעה כדי למנוע ממך, כיושב-ראש ועדת הכנסת, לנהל את הדיון בוועדת הכנסת בבקשות האמורות, בהתאם להוראות סעיף 13(ג) לחוק חסינות חברי הכנסת, זכויותיהם וחובותיהם, התשי""א-1951.""

 למען הסר ספק, ונוכח השאלה של חבר הכנסת טיבי - שלי היתה ברורה, אני חושב שגם לך ברורה - ברגע שנתת את הרשות הזאת, ניתנה גם הרשות להצביע בדיון."
אנה שניידר,נכון.
"היו""ר רוני בר-און",תודה רבה. עד כאן בקשר לעניין האישי שלי.
רשף חן,וזה חל מכללה גם לגבי יתר חברי הכנסת.
ענבל גבריאלי,מקל וחומר.
דוד טל,"מקל וחומר אפשר לומר שגם נניח לו יצויר שהיועצת המשפטית עצמה עדת התביעה, אז גם היא יכולה עדיין להשתתף?"
"היו""ר רוני בר-און","אני מניח, למרות שאני לא יועץ לה."
ענבל גבריאלי,מקל וחומר.
דוד טל,אולי בן-בנו של קל וחומר.
"היו""ר רוני בר-און","אני בכל אופן הייתי מציע שננסה - לפחות בדיון הזה שהוא לא מסוג הדיונים שאנחנו אוהבים לקיים ורוצים לקיים - שננסה לשמור ככל האפשר על רצינות.

 גם ראיתי לנכון, ואני עושה את זה כאן, בדיון הפתוח בוועדה - מייד עם הגשת הבקשה של היועץ המשפטי לממשלה, שמעתי בעיתונות - שמעתי וקראתי וגם פנו אלי עיתונאים - כדי לקבל את חוות דעתי כיצד אני עומד להכריע בעניין - האם אני בעד הסרת החסינות, נגד הסרת החסינות. שמעתי חברים מן הכנסת, ולמרבית הצער גם מן הוועדה, מודיעים בראש כל חוצות מה תהיה תוצאת הדיון לדידם: אני אסיר את החסינות, אני אתנגד להסיר את החסינות.

 אני חושב שהדברים האלה הם דברים שלא צריכים להיות. אני מזכיר לחברי הוועדה - הדיון שלנו הוא דיון מעין שיפוטי. לא יכול להיות שחבר כנסת שמשתתף בדיון מעין שיפוטי יצהיר בראש כל חוצות מה תהיה עמדתו בתום הדיון, עוד בטרם ראה את הבקשה, שמע את הבקשה, שמע את היועץ המשפטי ושמע את חבר הכנסת ו/או את סניגורו."
אופיר פינס-פז,איפה היועץ המשפטי?
"היו""ר רוני בר-און","אנחנו לא נחזור על זה, תבוא בזמן. אם תהיה חבר ועדה - אז בטח מגיעה לך זכות. אי-אפשר לבוא הנה באיחור ולהתחיל לפתוח דיונים שכבר היו.

 אני מבקש מהיועצת המשפטית, בעניין הזה של ההתבטאות המוקדמת של החברים קודם הדיון או במהלך הדיון, לומר את דברה."
אנה שניידר,"אני מסכימה עם דברי היושב-ראש שמוטב היה אילו חברי הכנסת חברי הוועדה היו נמנעים מלהביע את עמדתם לפני הדיון, אבל בהיותם חברי כנסת ובהיותם חברי הוועדה, הם רשאים למלא את תפקידם כפי ראות עיניהם, ואינני רואה כל סיבה או דרך למנוע את השתתפותם בדיון ובהצבעה על הבקשה.

 יש בתקנון, בסעיף 101א, הפירוט של סדרי הדיון בבקשות לנטילת החסינות. אין שם שום דבר שמגביל את חברי הוועדה, למעט חבר ועדה שהוא עצמו נשוא הבקשה.

 לפיכך, גם אם כפי שאמרתי, אולי הנושא איננו כל-כך ראוי, ומוטב היה אילו לא היו מתבטאים חברי הכנסת, אין בכך כדי למנוע מבחינה פורמלית את השתתפותם בדיון."
"היו""ר רוני בר-און",את אומרת שזה לא עולה למדרגת פסלות.
זהבה גלאון,"אדוני היושב-ראש, כיוון שבין היתר התייחסת לנושא הזה, אני גם מבקשת להתייחס לנושא הזה.

 בכל הכבוד שאני רוחשת ליושב-ראש הוועדה וליועצת המשפטית של הכנסת, יושב-ראש הוועדה אינו מחנך של חברי הוועדה, אינו בתפקיד של מחנך של חברי הוועדה. כולנו אנשים בוגרים, תבוניים, וכבר השתתפנו כאן לצערי בכמה וכמה הסרות חסינות.

 אנחנו יודעים בדיוק מה מוטל עלינו, אנחנו יודעים שלא מתפקידנו לבחון את חומר הראיות, אנחנו יודעים שמתפקידנו לבחון ולבדוק האם נעשתה כאן רדיפה פוליטית, ולאור זה יש לנו עמדה מאוד-מאוד ברורה מה התפקיד שלנו, מה שיקול הדעת שלנו, ואיך מותר לנו להתבטא.

אני חושבת שהנושא הזה לא היה צריך לעלות, ואני מקווה שהוא לא יעלה גם בישיבות הבאות, אם חלילה נזדקק לזה."
אהוד יתום,"היות ואני מאלה שהתבטא בתקשורת, אני מודיע לכבודו יושב-ראש הכנסת, שאני אמשיך להתבטא בעניין הזה."
קריאה,הוא עוד לא יושב-ראש הכנסת.
"היו""ר רוני בר-און",לא מחנך הוועדה ולא יושב-ראש הכנסת.
אהוד יתום,"יושב-ראש הוועדה, סליחה - אני אמשיך לדון בעניין הזה גם בתקשורת. אני חושב שכאשר חברים אחרים שומעים חבר כנסת כזה או אחר, יכול להיות שהם כתוצאה מכך משנים את דעתם.

ועל כן, אדוני, זה לא סוד כמוס וזה לא סודי, וזו לא ועדת משנה. זה דיון ציבורי על עתיד וגורל של חברי כנסת, חברינו, ואני חושב שמן הראוי לדון בנושא הזה גם בתחום התקשורתי."
"היו""ר רוני בר-און","תודה רבה. אני מבקש להזכיר לכם עוד עניין אחד, וזה הכללים של החלפה לצורך הצבעה. לפי סעיף 101א(ג) לתקנון ""לא יוחלף חבר הוועדה אלא אם נבצר ממנו להשתתף בדיוני הוועדה"".

המסקנות שעולות מן הדברים האלה - אני לא בטוח שהדברים האלה היו ברורים בדיון הקודם שניהלנו בעניינה של חברת הכנסת בלומנטל, לכן אני מבקש להבהיר כאן מלכתחילה.

אין חובה על חברי הכנסת להגיע לישיבות. חברי הכנסת יכולים - ואנחנו נאפשר להם את זה, ולפי דעתי הם גם צריכים - לקרוא את הפרוטוקולים שיהיו זמינים עבורכם. גם מי שלא הגיע לישיבות, יכול להצביע.

אם חבר קבוע של הוועדה לא הגיע, והגיע במקומו ממלא-מקום מהסיעה, כפי שמבקש יושב-ראש סיעת הליכוד ויושב-ראש הקואליציה, למנות ממלא-מקום אד הוק לחבר הכנסת גורולובסקי לצורך הדיון הספציפי הזה - כמובן שמבחינה תקנונית, חבר הכנסת גורולובסקי יכול להשתתף בדיונו של חבר הכנסת חזן - זה עניין לבחירתו הוא, אני לא אכנס לזה.

אבל, אם חבר קבוע של הוועדה לא הגיע, ובמקומו הגיע ממלא-מקום - לא יוכל החבר הקבוע להצביע בסוף ההליך. מי שמתחיל הוא זה שמסיים, גם אם אין חובת התייצבות לדיונים.

אם החבר הקבוע לא הגיע כי נבצר ממנו - ואנחנו נצטרך לדון מה זה נבצר ממנו- ובמקומו הגיע ממלא המקום שהצהיר על כך שהוא בא במקום הקבוע - יוכל בכל זאת החבר הקבוע להצביע.

כמובן הכלל בסעיף 101א(ב), שאם הדיון בנטילת החסינות נוגע לחבר הכנסת שהוא חבר בוועדת הכנסת - הוא כמובן לא יוכל להשתתף, כחבר בוועדה, לא בדיונים ולא בהצבעה, וסיעתו רשאית לשלוח נציג אחר במקומו.

עד כאן ענייני הפורמליות."
דני יתום,"אני מבקש לשאול שאלה, או בעצם להעיר הערה. אני באמת מנסה לעמוד על סדרים נכונים, למיטב הבנתי, של הדיון. ודומני, שאנחנו מעמידים - אם אנחנו מאפשרים לחבר כנסת אחד, במקרה זה גורולובסקי, לדון בעניינו של חבר כנסת אחר, במקרה זה חזן, כאשר תלוי ועומד עניינו של חבר הכנסת גורולובסקי - אני אינני חושב שזה יהיה ראוי להעמיד בפני המבחן הזה והפיתוי הזה את חבר הכנסת גורולובסקי, מאחר שתרשה לי לחשוש ששיקול הדעת עלול להיות לא ממין העניין.

אני מבקש, בין היתר דרכך אדוני, לשמוע את חוות הדעת של היועצת המשפטית."
"היו""ר רוני בר-און","אין פה צורך בחוות דעת של היועצת המשפטית. אמרתי לך מה המצב התקנוני. תנוח דעתך. אמרת דברים שהם נכונים, ואני מניח שכך ינהגו. אם עקבת, גם חבר הכנסת סער דיבר על החלפתו של חבר הכנסת גורולובסקי. אם הבעיה תצוף - אני מבטיח להגן עליך עוד פעם ולתת לך את הזכות לומר את זה שוב."
גדעון סער,"אדוני היושב-ראש, אני רק רוצה לוודא שהבנתי נכון את דבריך. אני מבין: 1. שכאשר יש ממלא-מקום - הוא צריך להיות לאורך כל ההליך."
"היו""ר רוני בר-און",נכון.
גדעון סער,"2. אני מבין שאין צורך בממלא-מקום להיעדרות מישיבה. זאת אומרת, בין אם חבר קבוע ובין אם חבר זמני - הוא יכול להסתפק אחרי כן בקריאה בפרוטוקול."
"היו""ר רוני בר-און","הבנת נכון.

 אגיד לכם מה אני אעשה, כדי שאנחנו נייצר קו אחיד. בפתח הישיבה הבאה, אני אקריא את שמות 21 חברי הכנסת שיצביעו בסוף. תודה רבה."
דוד טל,"היושב-ראש, אני לא הבנתי כך מדבריך, אני הבנתי את זה קצת אחרת. מדבריך אני למד שחבר הכנסת ברמה העקרונית יכול לא להשתתף באף לא ישיבה אחת, אבל על-פי החלטת בג""ץ בנושא של פנחסי, הוא חייב לקרוא את הפרוטוקולים."
"היו""ר רוני בר-און",זה נכון.
דוד טל,"אם כך, אני בעצם יכול לשבת כאן לאורך כל הזמן. בדיון האחרון יקרא חבר כנסת אחר מסיעתי את כל הפרוטוקולים - הקבוע - ויבוא להצביע."
"היו""ר רוני בר-און",אתה מנסה לעשות - - -
דוד טל,"לא, לא, אני לא מנסה."
"היו""ר רוני בר-און",אני רואה את עצמי פטור מלענות על השאלה שלך.
דוד טל,"לא, אני רוצה להבין."
