header,body
השר אברהם פורז,כמה תלמידים יש בבית הספר?
ענת כוהנה- עורקבי,"כ-300 תלמידים בבית הספר, מעל 50% ילדי עובדים זרים. יש הרבה מה לספר, אחד הדברים שאתה הצגת מקודם, ושאלת איך צוות החינוכי מטפל ועובד מול אוכלוסייה הטרוגנית כל כך גדולה, אז אני רוצה לומר לך, שהמילה היא באהבה. כלומר, בית הספר מאד מחויב לתכניות משרד החינוך, מאד מקפיד על תכניות משרד החינוך אבל צוות שלנו כל כך מחויב, לאורך כל השנים, להתייחסות מאד אישית, אנושית ובאהבה מול הילדים. אני חייבת לציין ולומר, שעיריית תל אביב ומשרד החינוך, מאד מייחסים חשיבות לעניין. הם נותנים מענה לכל בקשה, צורך או בעיה, אני נענית על כל דבר.

דבר אחד שאני הייתי רוצה לציין, מעבר לבעיות האחרות, הכלכליות, מבנה המשפחה והדברים שהזכירה הגב' בנושא של ילדים עם כתובות לא מדויקות, מספרי טלפון, אני רוצה לומר, שאנחנו מתמודדים יום יום עם נושא של בדיקה של הילדים הנמצאים. כלומר, ביקור סדיר. יום יום בדיקה מי נמצא בכתה. זו התמודדות הבולטת ביותר."
"היו""ר אילן שלגי","לגבי כל ילד, יש לכם קשר לפחות עם הורה אחד שלו?"
ענת כוהנה- עורקבי,"בהחלט, אנחנו יש לנו כתובות, מספרי טלפונים, אנחנו לא מוותרים, אנחנו עוקבים."
"היו""ר אילן שלגי",הם לא מהססים למסור כתובות?
ענת כוהנה- עורקבי,"הם לא מהססים, הם מרגישים בטחון."
"היו""ר אילן שלגי",קרה שמשטרת ההגירה - -
ענת כוהנה- עורקבי,"לגבי משטרת ההגירה אני רוצה לומר, בשנה שעברה מינהלת ההגירה הבטיחה לא להתקרב לבית הספר."
השר אברהם פורז,משטרת ההגירה זה מושג נכון. זה גוף של המשטרה.
ענת כוהנה- עורקבי,"בהחלט. לא מתקרבים מלבד מקרה חריג שקרה השנה, וזה טופל באופן אישי עם מנהלת ההגירה, ובאמת מאותו מקרה לא התקרבו לבית הספר. הבעיה היא לא בבית הספר, הבעיה היא בבית. הבעיה היא שילדים באמת עם פחדים קשים מאד, עם טראומות מגיעים לבית הספר עם כל החששות האלה, וכל התחושות האלה. כמובן שזה גורר אחריו בעיות יומיומיות של בעיות התנהגות, וכל מה שכרוך בענין הזה. וזה אולי הבעיה. אני חושבת - -"
השר אברהם פורז,"הם מודעים לדיון הזה שנתנה הוראה לא לגרש אותם ואת ההורים, הם מודעים? הילדים כרגע מודעים לזה שנתנה הוראה לא לגרש את ההורים שלהם, אותם אותה ההורים שלהם?"
ענת כוהנה- עורקבי,"היו שניים שלושה מקרים שהורים נעצרו, הורים נעצרו ויצרתי קשר באופן ישיר למנהל מינהלת ההגירה ומיד תוך שעה שוחררו ההורים. ונתנו להם אפשרות שהות עד סוף שנת הלימודים. כלומר, לא הבטיחו לי לגבי שנים הלאה, אבל עד סוף שנת הלימודים. התחושה היא תחושה לא קלה."
"היו""ר אילן שלגי","המפגשים עם ההורים הם אחד על אחד, או שהם באים גם לאסיפות הורים?"
ענת כוהנה- עורקבי,"באים לאסיפות הורים, אני חייבת לציין דרך העבודה שלנו. דרך העבודה שלנו, דיברה מקודם גב' חגית, דיברה על הקשר עם ההורים בשפות השונות, אסיפות ההורים שלנו נערכות אחת לשנה, אסיפות כלליות, כשזה בעצם מוסדר בצורה של חדרים על פי שפות. יוצרים אסיפות הורים כלליות על פי שפות חדר ספרדי, חדר אנגלי, חדר רוסית וכך הלאה, כמובן שאנחנו מארגנים לנו את המתרגמים המתאימים, והשיחות האישיות בהמשך השנה, והקשר הוא קשר הדוק והדוק מאד עם ההורים והוא בפגישה אישית של תלמיד, הורה ומורה. והקשר הוא מאד טוב, מאד חם. ההורים ממש מרגישים טוב ונוח."
"היו""ר רן כהן",מה עושים הילדים כאשר הם מסימים את השעות בבית הספר. באיזו שעה מסיימים? בשעה 13:00?
ענת כוהנה- עורקבי,"יום לימודים שלנו יום לימודים ארוך עד שעה 15:00. מתקיימת אצלנו בבית הספר מועדונית, משעה 15:00 עד 18:00, מועדונית שלצערי הרב בשנה האחרונה קצת קוצצה, והילדים נשארים בתוך בית הספר, בתוך מסגרת בית הספר, וכמובן בחלקם הם ילדי עובדים זרים.לעומת זאת הילדים הקטנים מא' עד ג', ישנה מועדונית בהתנדבות, לילדים הקטנים."
"היו""ר רן כהן",מחוץ לבית הספר?
ענת כוהנה- עורקבי,מחוץ לבית הספר.
יעקב מרגי,"לא אחת אנחנו קוראים בעתונות, קודם כל המסר המרגיע על הכמויות, ככה מספרים באמת לא צועקים לשמים, מספר הילדים כפי שזה עולה מהנתונים, בכל זאת משרד החינוך ומנהלת בית הספר הם לא זועקים לשמים, זה לא תופעה. אבל כשאנחנו קראנו בעתון, וקוראים בעתונים מעבר ולא ברחוב שכל ילדה רביעית בתל אביב היא לידה מעובד זר, איפה זה, השאלה היא באמת זה המספר או שישנם עוד הרבה ילדים, שלא מגיעים למערכות החינוך.

אנחנו הרי לא משחקים מחבואים. השאלה אם משרד החינוך לא יכול לאגום את הנתונים האלה מבתי החולים בסביבה."
חגית מאיר,"אנחנו לא מעוניינים לאסוף את הנתונים האלה שכן חובתנו על פי חוק להעניק חינוך לכל אדם, לכל דורש, אנחנו לא מעונינים לנהל רשימות. אנחנו לא מתיגים ילדים, ילד - -"
"היו""ר אילן שלגי",מי מהיועצות המשפטיות במשרד הפנים יכולה להתייחס לענין?
"היו""ר רן כהן",כל לידה רביעית זה חסר שחר.
"היו""ר אילן שלגי","לא, השאלה היא לגבי רישום לידות, והילודים."
השר אברהם פורז,"רושמים, מה שנקרא תעודת ילוד חי, ומוציאים תעודה כשנולד ילד, רושמים את שם ההורים אם יודעים, לפעמים רק שם האם מופיעה, הילד לא מקבל מספר תעודת זהות אם אין לו מעמד של תושב בארץ, או משהו כזה, והוא אמור להרשם בדרכון של ההורים שלו, זאת אומרת, בעקרון נניח שילד נולד גרושה פיליפינית היא יכולה ללכת לשגרירות הפיליפינית בארץ עם התעודה וירשם בדרכונה כמו שילדים קטינים בארץ גם הם נרשמים בדרכון של ההורים."
יוסי שריד,"בשעתו כאשר עבדתי במשרד החינוך, יום אחד נודע לי, אני חושב שבאמצעות אמירה יהלום, לא במקרה שאלתי איפה היא, כי בכל זאת היא יודעת יותר על ילדים של עובדים זרים עם כל האחד לחוד וביחד, וכל מה שאני יודע על ילדים זרים, אני יודע ממנה. הסתבר לי שבמשרד החינוך יש מדיניות שיש בה הרבה מאד גילויים של הפליה וקיפוח כלפי ילדים של עובדים זרים. קודם כל הילדים האלה היו מתויגים, דבר - -"
חגית מאיר,"במפורשות, לא."
יוסי שריד,"אמרתי שזה היה המצב, שהיה, והילדים היו מתויגים. זה חד משמעית. אין על זה שום ויכוח. ואני לא חשבתי שילדים, אני גם לא אוהב שאנשים מתויגים, אז מילא אנשים מבוגרים, אבל ילדים בוודאי לא צריכים להיות מתויגים. והענין הזה לפחות בוטל. אני חושב שמה שרצינו להנחיל אז, לעובדי משרד החינוך שמבחינתנו ילד הוא ילד, וזה בכלל לא מעניין אותנו מהמעמד החוקי המשפטי של ההורים שלו, אנחנו מטפלים בילדים, ואנחנו גם לא משתפים של משרד הפנים. וגם אנחנו לא עובדים במובן הזה, אנחנו לא עובדים בשיתוף פעולה עם משרד הפנים. משרד הפנים יעשה את חובתו, משרד החינוך יעשה את חובתו, כל אחד בעניניו, וכל אחד בתחום שעליו הוא מופקד.

כל אחד מאיתנו מבין, הדברים נאמרו כאן ברכות, אבל כל אחד מאיתנו מבין, שמצבם של חלק גדול מהילדים הוא מצב, שאני לא יודע אם יש לו אח ודוגמה באיזה שהוא מקום אחר בעולם, אבל לומד ילד, הוא בבית הספר, והוא רק יכול להעלות בדעתו על פי המציאות שסובבת אותו שיכול להיות שבערב כשהוא יחזור הביתה, לפני הפנימיה אחרי הפנימיה, הוא יחזור הביתה והוא לא ימצא את ההורים שלו או לפחות אחד מההורים שלו, זה כל מה שיכול לקרות לו וזו כמובן מציאות שאף אחד לא יכול לקבל אותה, ולא יכול להסכים לה, והיא כמובן צריכה להשתנות. לו שר הפנים היה שואל לדעתי, אז גם מבלי שהוא שואל, אני אומר לו את דעתי, כל ילד שנולד בישראל צריך לקבל איזה שהוא מעמד, שמאפשר לו להשאר כאן ובתוקף ההשארות לו נשארים גם ההורים. אם רוצים לדאוג שזה לא יקרה, אז או שמוציאים את העובדים האלה קודם, אבל מרגע שהילדים נולדו כאן, אז הם שייכים לכאן על פי רצונם, ואם הם רוצים להשאר הם צריכים לקבל מעמד של קבע, כי המציאות הזאת שילדים תלויים ועומדים ואין להם שום יכולת להבין, להסתגל למציאות, שהיא מציאות נורמלית, אני חושב שזו גזירה שאף אחד לא צריך ולא יכול לעמוד בה.

אני לא יודע מה המצב עכשיו, אבל כל ענין הגילאים, רן בן 3, אילן בן 3, 16 וכו', זה מניה וביה צריך להסתדר, או על ידי רשויות או על ידי משרד החינוך, אני חושב שבגלל המצב המיוחד של הילדים האלה, לא זו בלבד שהם צריכים לקבל טיפול שיוויוני, הם צריכים לקבל טיפול מועדף. בגלל מצבם המיוחד, הם צריכים לקבל טיפול מועדף. בשעתו, לא יכול כרגע לזכור, מה מזה בוצע ומה מזה לא בוצע, בוודאי חלק בוצע וחלק לא בוצע, כרגיל אצלנו. אני חשבתי שילדים של עובדים זרים, צריכים לקבל אותן העדפות שמקבלים ילדים של עולים חדשים. ולמה ילדים של עולים חדשים מקבלים העדפות, כי יש להם בעיות מיוחדות, כי הם חיים במציאות מיוחדת. יש קשיים של קליטה, יש קשיים של שפה, יש קשיים של התערות ומבחינה זו יש דמיון רב לא דמיון מוחלט שום דבר לא דומה לזולתו באופן מוחלט, אבל יש דמיון רב בין ילדים של עובדים זרים לבין ילדים של עולים חדשים, בוודאי מנקודת ראותו של הילד או מנקודת ראותה של הילדה. לכן, אני מציע שהמלצות של הועדה המשותפת, תהיה המלצה האומרת שילד של עובד זר יקבל את סל הקליטה של ילד של עולה חדש."
מרינה סולודקין,אני נגד.
יוסי שריד,"בסדר, אני לא יודע למה צריך להיות נגד, אבל בסדר, אני מבין שכאילו מכיוון שסל קליטה, זה כאילו יש בזה כדי להוריד את סל הקליטה, או להפחית מסל הקליטה או כדי להשוות בין, מה, - -"
"היו""ר אילן שלגי",אני ממליץ לפעול על פי האמנות הבינלאומיות לענין עובדים זרים.
יוסי שריד,"ילד זה ילד, אפילו הילד לא הגיע לכאן מתוך הכרה ציונית עמוקה, הרי הביאו אותו לכאן, הילד של זה או של אחר של עולה חדש, של עובד זר, הביאו אותו לכאן הוא הולך אחרי הוריו, בכלל אין בענין זה הרי אין לו שום מעמד ושום עמדה. אז אני חושב שהילדים מרגע שהם נולדים כאן, הם צריכים לקבל מעמד של תושבות קבע, אני לא כל כך בקיא במעמדים השונים של תושבות קבע, מכל מקום אותו מעמד שיאפשר לו לחיות במציאות, שאיננה מחייבת אותו לחשוש כל היום שמא הוא יחזור הביתה בערב ולא ימצא את אבא שלו או את אמא שלו."
"היו""ר אילן שלגי","אני רוצה לקדם בברכה את אורחינו, עובדי פרלמנטים מאירופה, אני מבין כי אתה מהבונדסטג בגרמניה, ומהפרלמנט האיטלקי, והפרלמנט במקדוניה, ברוכים הבאים, אתם במפגש של שתי ועדות הכנסת ואיתנו שר הפנים, שישא דברים עכשיו. בבקשה שר הפנים אברהם פורז."
שר הפנים אברהם פורז,"אמור להם שאני מדבר פה בעברית בלבד. 

אני פשוט רוצה לתת לכם קצת סקירה עובדתית, על מה שקורה בתחום הזה של ילדי עובדים זרים, נשתמש עדיין במינוח הזה ולא של מהגרי עבודה, זה כמו הענין שאסור להשתמש במילים מדויקות מידי כי אז הם לא מובנות.

בהערת ביניים אני ציינתי פה שניתנה על ידי הוראה למשטרת ההגירה, או למינהלת ההגירה, מי שעוסק בפועל זה משטרת ההגירה. אמנם לא מגרשים ילדים, זה לפי אמנות, אבל גם לא לגרש הורים לילדים מבוגרים. אני לא מדבר כרגע על ילד בן שנתיים או שלוש, ילד כזה ההורים שלו יכולים לקחת אותו איתם והוא אפילו לא ידע, והוא חושב שהוא נוסע לטיול. לגבי ילדים יותר מבוגרים שנמצאים במערכות החינוך, ההוראה שלא לגרש היא בשל העובדה - -"
יוסי שריד,אז מאיזה גיל זה?
